Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2020-01-01,2002.2322998046875,2017.2885804632408,1989.6697635521355,2002.6016933059561,1354908
2020-01-02,1993.041015625,2013.6397753758822,1985.235718182036,2013.6397753758822,2380752
2020-01-03,2032.7608642578125,2053.4058581660115,1998.9070072295315,1998.9070072295315,4655761
2020-01-06,2032.57568359375,2056.130266102676,2020.983089059902,2036.778605183621,3023209
2020-01-07,2037.5634765625,2045.6919349066027,2017.1956491220296,2032.6215434764756,2429317
2020-01-08,2083.195556640625,2087.583176148016,2034.0542632608453,2036.7791607992808,5197454
2020-01-09,2045.4158935546875,2080.147229876613,2041.397667667992,2077.1914050535734,3734173
2020-01-10,2044.6768798828125,2063.5666910158393,2039.550247879576,2058.0244349074705,1915807
2020-01-13,2023.2464599609375,2049.664406773553,2018.0273678692192,2048.6484620009137,2843893
2020-01-14,2038.5330810546875,2059.6861501720587,2027.54103535144,2027.54103535144,2948452
2020-01-15,2057.007568359375,2060.7948656245294,2026.8023278926905,2044.1681029256313,2620681
2020-01-16,2068.000244140625,2077.422033069342,2046.0159196303214,2057.054199691929,3117214
2020-01-17,2049.8037109375,2081.625456080185,2044.1689931408268,2069.801930131183,3281059
2020-01-20,2004.7725830078125,2071.1409613523033,1991.7019610155112,2027.4494660640742,5817599
2020-01-21,2005.4185791015625,2019.7360693836738,1993.410361445598,2004.4024089400957,1902980
2020-01-22,2038.5330810546875,2041.396668850425,2007.865990679908,2014.6091107523878,1773686
2020-01-23,2028.39697265625,2053.2086475559586,2021.6848713396992,2045.8485264901299,2069866
2020-01-24,2021.40625,2028.3961357614653,2009.0005306821738,2028.3961357614653,1319430
2020-01-27,2008.30615234375,2030.7106289254693,2004.371473930722,2027.2388538551506,1549101
2020-01-28,2021.7308349609375,2025.4803981430407,1992.3364656375215,2012.7042176096522,1743024
2020-01-29,1994.743896484375,2024.6936179768466,1990.4850937798647,2022.8883394925601,2306761
2020-01-30,1979.236083984375,2004.3716472562403,1967.3393766371873,1999.7426134288587,2098567
2020-01-31,1924.7987060546875,1985.2539363462954,1917.901490480739,1980.6710117853456,3287223
2020-02-03,1946.5089111328125,2031.8682578924154,1937.8988621825556,1992.3363504198871,4728073
2020-02-04,1951.3692626953125,1978.171324075138,1931.788539486867,1971.0426569936285,3509339
2020-02-05,1987.2908935546875,1996.6877434018252,1948.175551101562,1958.0816399611977,2439322
2020-02-06,1970.44091796875,2012.8890225120526,1958.5442106320893,1985.8555101894738,2640065
2020-02-07,1978.032470703125,1991.4103331284496,1961.7845169219827,1980.3006520510246,2083442
2020-02-10,2001.548583984375,2006.223954973193,1961.7852148538052,1982.0602996224277,2383032
2020-02-11,1993.632080078125,2013.4444793000184,1988.2625819785835,2002.5199149101745,1335820
2020-02-12,2009.695556640625,2022.8883064653994,1990.4850612817431,1991.5035393983555,1620407
2020-02-13,2029.322509765625,2033.9978800936976,2009.9268992641864,2011.7321776209822,1645948
2020-02-14,2022.1475830078125,2047.8850625435716,2009.926975941272,2025.6656947763718,1500115
2020-02-17,2039.783447265625,2052.513288363958,2027.7016255996234,2033.9508203206233,1774724
2020-02-18,2051.356689453125,2056.217175798439,2023.860269047909,2036.7288948656217,2486223
2020-02-19,2033.3963623046875,2064.549678477143,2027.9803007642074,2051.356928289565,1760463
2020-02-20,1996.7802734375,2050.1066127592103,1991.6420001781703,2040.9412152900761,2317278
2020-02-24,1958.4053955078125,2017.2865690858926,1950.397031518465,1996.039349416941,3092877
2020-02-25,1996.1788330078125,2015.1578780325474,1954.3787340105234,1958.5448658452215,2674567
2020-02-26,1966.0430908203125,2003.3529179646569,1956.1831143892796,1994.1875225475974,2686842
2020-02-27,1949.2864990234375,1962.6643640107961,1931.4183799965283,1962.6643640107961,2349001
2020-02-28,1851.7525634765625,1915.9572448758574,1842.3556014993749,1914.568534623471,4298076
2020-03-02,1852.8172607421875,1901.560900106016,1838.374583731467,1884.0169058198865,2667076
2020-03-03,1885.1279296875,1907.1621787051388,1862.7234483275433,1870.1299033904759,2757585
2020-03-04,1928.640869140625,1939.0561966590549,1874.7589533173627,1903.4589669237027,3237002
2020-03-05,1967.3858642578125,1988.4016342532143,1929.4277839391618,1930.9552748094543,3937056
2020-03-06,1959.424072265625,1966.0898370938921,1917.9017662137178,1942.342979259726,2595027
2020-03-09,1826.0150146484375,1925.5854679224633,1791.436153360692,1921.0491050250314,4940975
2020-03-11,1808.748779296875,1839.8559795522388,1777.5491339736864,1789.5846229016333,6796449
2020-03-12,1638.5391845703125,1766.8097652187396,1627.8924060961538,1762.7361925911384,8728786
2020-03-13,1672.28466796875,1684.968174405851,1394.3112095262463,1562.669133360744,8029720
2020-03-16,1570.5386962890625,1705.5675970282311,1551.5133211235866,1624.790952793891,7844271
2020-03-17,1534.98779296875,1602.5716945892077,1502.7234460992247,1601.6458877176947,5713248
2020-03-18,1531.6549072265625,1586.4164061502927,1506.982131556142,1552.3930037023194,7258778
2020-03-19,1526.012939453125,1571.8021649787609,1442.4545783697238,1454.5313305000197,5135111
2020-03-20,1676.2501220703125,1742.975639520235,1517.2934004812319,1520.0911141883269,8547498
2020-03-23,1557.1142578125,1631.999778917988,1508.6672241969,1510.7655096269373,7003490
2020-03-24,1588.308837890625,1650.6512067447402,1522.74902973675,1541.5870383658737,6350865
2020-03-25,1632.279541015625,1687.954000353455,1566.7197351346986,1585.3711605529688,2765520
2020-03-26,1670.18798828125,1708.5167474840064,1606.4002229004304,1708.097022230123,4556067
2020-03-27,1701.476318359375,1725.256886250942,1632.3728085482046,1697.2797475549808,4331250
2020-03-30,1658.57763671875,1776.5478762717003,1644.6357448527342,1646.920498423004,8513547
2020-03-31,1702.96826171875,1729.9195924224557,1659.976751758475,1713.5063619144935,3927593
2020-04-01,1593.531005859375,1711.034974689386,1587.2361503863387,1702.7817425037006,4941878
2020-04-03,1542.6593017578125,1622.6739597936894,1538.7425480802226,1622.6739597936894,5735369
2020-04-07,1655.50048828125,1665.4323951664708,1590.0340300574085,1594.6968864505388,5427577
2020-04-08,1590.4534912109375,1684.2235699460157,1586.303594949154,1641.3252951854859,6285615
2020-04-09,1647.060546875,1658.8575946010674,1614.4671171256239,1632.4191116272589,5307397
2020-04-13,1640.6258544921875,1666.5047048330475,1628.2692863114164,1642.2578540632328,2990438
2020-04-15,1618.1507568359375,1689.818822655895,1611.2963820615564,1664.6394031130092,4761399
2020-04-16,1600.3388671875,1645.8949479350997,1562.1034476555963,1594.6500917467122,6245533
2020-04-17,1684.4100341796875,1727.0751660294156,1634.797292515269,1678.6281383499622,9895823
2020-04-20,1696.020751953125,1706.6054130311206,1680.9597032724564,1706.6054130311206,3244282
2020-04-21,1620.482421875,1673.5923079303248,1611.2032698255127,1645.9882222680724,5122541
2020-04-22,1650.1845703125,1669.3022779651737,1603.2296379431723,1620.4822033858293,3829836
2020-04-23,1751.6015625,1771.884982696659,1642.1176992223693,1659.9764574737123,5934366
2020-04-24,1695.92724609375,1727.0750302518695,1685.902106611196,1716.583605211987,2987102
2020-04-27,1712.76025390625,1748.5710109789507,1701.9424506861785,1708.7502660246266,3374741
2020-04-28,1733.6964111328125,1742.0428772412824,1709.0298363501233,1739.245163841002,2678505
2020-04-29,1777.1541748046875,1783.5889382904309,1725.303243381973,1747.638276135195,4241510
2020-04-30,1878.6177978515625,1894.9844661137847,1811.239536199633,1846.4907691463059,5915544
2020-05-04,1800.281982421875,1833.4349332873662,1784.6148549577638,1833.4349332873662,3729348
2020-05-05,1802.4268798828125,1843.6931530349607,1797.064595800895,1823.2698221985897,2905528
2020-05-06,1775.2421875,1821.9639732709313,1765.9164772128186,1809.0013270431386,3517431
2020-05-07,1764.097900390625,1804.0118696533677,1756.3575157941823,1781.2105549438363,3166754
2020-05-08,1765.730224609375,1808.7217315261632,1759.062318170263,1808.3486803011795,2686530
2020-05-11,1804.8050537109375,1819.81942697038,1780.278386093383,1780.278386093383,2449841
2020-05-12,1818.04736328125,1824.5753609950068,1781.443947529114,1803.0329913074586,3256595
2020-05-13,1818.187255859375,1859.5467611030201,1795.8055496073828,1859.5467611030201,2656665
2020-05-14,1774.0767822265625,1793.4276344375826,1763.5853563290214,1781.2109746047418,2263146
